user,location,tweet
dlynnmason,"Florida, USA","@JoeBiden hurry, get those nonviolent offenders out of prison need the room! The last shall be 1st!     Federal off… https://t.co/6QfxbNCj3P"
Welfare4Poor,"Mumbai, India",@JoeBiden Thats a good one
krbr1983,Minnesota,@JoeBiden Oh bugger off. I'm sure you know the meaning of the term bugger.
JusteanMorgan,,"@JoeBiden we wear a mask!! We are socially distant! And our industry has been crushed, devastated.  You politicians… https://t.co/RKszNKbJIT"
XoMayboo,,@JoeBiden I've met a lot of online people who said they didn't vote for you and didn't like Trump. Kids under 18 sa… https://t.co/OdZnET5u60
an1_world,,"@JoeBiden ""The Peoples Of An Entire United One (USA+World)'s Victimes of The Ultra-Wealtht Evil Cruel Cunning Crimi… https://t.co/GMlcVS6cMz"
ToughestBlue,a river ,@JoeBiden Joe why you waste vaccine on yourself I thought you already had covid
HappyHealerFor1,"Orlando, FL","@JoeBiden Hate &amp; Chaos comes from Greed. Greed also causes EVERY PROBLEM we have as it ferments chaos, corruption a… https://t.co/l2ipHHeSD1"
corvalues,"New Jersey, USA","RT @PatriotsOfMars: @JoeBiden Here is the bill to abolish electoral college you said ""was not an issue"" you lying POS https://t.co/O8DnFO7U…"
ausgee,"Brisbane, Queensland","@JoeBiden It should be top 10, but number 1?"
NandKis55928850,,@JoeBiden Democracy should win over hooliganism.
VGazet,,@JoeBiden Joe Biden does not have moral authority to preach the American people on this after Biden and Kamala led… https://t.co/mZN6xnXulX
Mixinwithdixon,"Miami, FL",@JoeBiden Thank You Jesus
HowardRunge,,"@JoeBiden Not good policy for the working class.  For you entry level burger flippers, meet Flippy who will take ov… https://t.co/yMTbCO5A4w"
chelly_becka_nz,,"@JoeBiden Mr Biden, rather than ""avoid large indoor gatherings"" you should really put your country into a proper lo… https://t.co/UKp613PFQN"
ThisIsDrDeath,,@JoeBiden Dam I'm loving this Joe Biden. Keep it up! 🖤🖤
Nazzy42454329,,"@JoeBiden Well, you can make it available however you can’t force it on people."
BroDom7,,"@JoeBiden You were never elected by the people, you rubbed them of their votes. So, don't pretend to love them. 😏😏😏"
arfanullah139,"Punjab, Pakistan",@JoeBiden O really?
ugihughes,,@JoeBiden So after the vaccine we still have to do the shit we are doing now do what’s the point. It’s like a car s… https://t.co/fNovyCu5of
ScottGi34823868,,@JoeBiden Every president since my birth has had a personal agenda so stop lying. The attorney general will do noth… https://t.co/gxOUGt6cPP
funnypersonaman,Your moms house,@JoeBiden your mom is a home@of sexual
MageshPS2,,@JoeBiden dear sir president Trump is the most energetic person let's move back and take rest. Thanks.
KenPahana,,"@JoeBiden Hyperinflation from all the ridiculous spending this year makes 15 dollars equal to 5 dollars now
You cri… https://t.co/eLV5shgzg3"
Xo2RbUi2e1wREX4,,"@JoeBiden Dear Mr. JoeBiden , contact me Paul e-mail fike031@gmail.com. This is very important"
skeneson74,,RT @Boiler___Up: @JoeBiden I like Presidents that send out messages of peace and unity....I also like Presidents that have twitter accounts…
Nazzy42454329,,@JoeBiden It will cause inflation it can’t happen if they want to make more money they need to gain skills doing th… https://t.co/Zt3reUn7UD
Alexand27506822,ANZACS 4 CANZUK,"@JoeBiden time to negotiate a USA, Canada, UK, Australia and New Zealand economic pact."
w_roemer,,@JoeBiden You keep leaving out those who cannot work and the homeless!!!!!
NelileNyawo,,"@JoeBiden The only thing I want right now is to work in the US,I have professional QUALIFICATIONS"
StregaNonna24,"Staten Island, NY","@JoeBiden To make a covid vaccine appointment in NYC, there is: 1 website for H+H sites, another for DOHMH sites, a… https://t.co/K85kTs0DAW"
BigBen78591761,,@JoeBiden Mr president call m.i.t. and andrew yang and asked how u can give every American 2 bitcoins and get rid o… https://t.co/IYTpHUGv0P
SBBeacon,San Bruno California,"@JoeBiden In my opinion, Federal sedition &amp; conspiracy charges should be brought against Trump &amp; the treasonous Tru… https://t.co/04EgSM6V49"
Norahsnna,,@JoeBiden You’ve been raising your own “wage “on the  sly for decades .
Vhpinternation,,@JoeBiden @KamalaHarris all of ou people from Myanmar follows https://t.co/GDFwhDE8Ep
salama95254708,,"RT @bremariemantis: @JoeBiden I urge every President Elect to:
- Implement a mask mandate. 
- Institute a lockdown to help kick this virus.…"
tushar_naya,India,"@JoeBiden Dear President Elect , Pl tell Indian PM @PMOIndia why is he not listening to Farmers sitting in the stre… https://t.co/IBj0fqlSHi"
SBBeacon,San Bruno California,"@JoeBiden Due to Republican opposition, the Federal $15 minimum wage is taking so long to become law that cost of l… https://t.co/AnzCoAx2fk"
JusteanMorgan,,@JoeBiden the restaurant industry is crushed
ScottGi34823868,,@JoeBiden This is what happens when you cheat 80 million voters. 4 years from now it will be 100 million.
NgureF,Kenya,@JoeBiden Great words... Inspiration and true statesmanship...
JusteanMorgan,,@JoeBiden the restaurants are crushed!!! Walmart is open and we have tents in Chicago!! Makes zero sense!!
hells1982,,@JoeBiden You and your son ain't exactly an innocent bunch. Stfu hypocrite and the same applies to the sheep shit r… https://t.co/mKVrNHHZOB
Maciej76797025,,@JoeBiden Do you love your son?? https://t.co/eXF8bBLCvn
ScottGi34823868,,@JoeBiden Marxist Joe.
Duncan99114448,"SSA GHA Delta State, Nigeria.","@JoeBiden Once again, I like to congratulate you for the second round of success having been declared by Congress.… https://t.co/4HKAn73os1"
ScottGi34823868,,@JoeBiden Fuck you Joe Biden and the Marxist terrorists you support.
Saul24242380,,"@JoeBiden Don't forget that 3,400 for 62 and older u promise"
jpaulin66,muir michigan USA,@JoeBiden And bail out the working class .the money never trickles down .but it would trickle up from the working c… https://t.co/wHqlfZnsKo
PaddyMa28493520,,"@JoeBiden best of good wishes on your journey as preident, hope you can bring common sense and stability to your co… https://t.co/wNkDXtM9GB"
XoMayboo,,@JoeBiden I went to college and got paid 12 an hour starting out.. Goodluck on finding a job that can afford paying… https://t.co/WRNNVZImqW
sonofGod_77,,"RT @nicklaroberts: @JoeBiden And what will that do to the already struggling small businesses?

It will crush them even more .

Focus on ge…"
PixarYeah,,RT @MarcGalyean: @JoeBiden Obviously it hasn’t helped. Everyone wears a mask and numbers higher than ever. Flu is all time low 🤔 Go figure.…
MsDeeMaria,"Portsmouth, Virginia",@JoeBiden Yessir!!!
ChrisPallo,United States,@JoeBiden Going to be difficult from a prison cell asshat
dsclayaz86,,@JoeBiden @Rell2Nice Not like these ppl are doing either. 55” flat screens seem to be more on their list of items to buy.
PixarYeah,,RT @besttakess: @JoeBiden I speak for all americans when i say that It isnt democracy 🤡🤡🤡🥱🥱🥱anymore its communism 🤖🤖🤖Trump😍 will always be…
Catalinaf96,"Boston, MA",@JoeBiden Who tweets for the dementia circus monkey
